# i18n residual strings — clawmetry/static/js/app.js
# Generated: 2026-05-29  Total: 89 sites (46 Class B, 43 Class D)
# Related: https://github.com/vivekchand/clawmetry/issues/2258
# Class B = JS-concat boundary; static English fragment + interpolated expression
# Class D = multi-tag innerHTML blob; all text nodes need extraction
file	line	class	english	suggested_key
clawmetry/static/js/app.js	227	B	Failed to load: ' + escHtml(String(e)) +	app.failed_load_eschtml_string
clawmetry/static/js/app.js	325	B	Failed to load: ' + escHtml(String(e)) +	app.failed_load_eschtml_string
clawmetry/static/js/app.js	443	D	View Dismiss	app.view_dismiss
clawmetry/static/js/app.js	481	D	View Details Dismiss	app.view_details_dismiss
clawmetry/static/js/app.js	537	D	Anomaly Detection	app.anomaly_detection
clawmetry/static/js/app.js	886	B	' + escHtml(data.error || 'Failed') +	app.eschtml_data_error_failed
clawmetry/static/js/app.js	981	B	Failed to load context economics: ' + escHtml(String(e)) +	app.failed_load_context_economics_eschtml
clawmetry/static/js/app.js	1060	B	No compactions recorded' + (_ceSessionId ? ' for this session' : '') +	app.compactions_recorded_cesessionid_this_session
clawmetry/static/js/app.js	1946	D	This file hasn't been created yet. Click Edit above to write the first version.	app.this_file_hasn_been_created
clawmetry/static/js/app.js	1955	B	' + escHtml(d.content) +	app.eschtml_content
clawmetry/static/js/app.js	2258	B	Error: ' + escHtml(String(e)) +	app.error_eschtml_string
clawmetry/static/js/app.js	2269	B	' + escHtml(data.error) +	app.eschtml_data_error
clawmetry/static/js/app.js	2294	B	Error: ' + escHtml(String(e)) +	app.error_eschtml_string
clawmetry/static/js/app.js	2616	B	Network error: ' + escapeHtmlSafe(e.message) +	app.network_error_escapehtmlsafe_message
clawmetry/static/js/app.js	2620	B	' + escapeHtmlSafe(msg) +	app.escapehtmlsafe_msg
clawmetry/static/js/app.js	3033	D	Ingest temporarily offline. Sub-agent data unavailable; the local_store writer is not responding.	app.ingest_temporarily_offline_sub_agent
clawmetry/static/js/app.js	4120	B	' + _bmsg +	app.bmsg
clawmetry/static/js/app.js	4603	B	Timeline unavailable: ' + escHtml(String(err && err.message ? err.message : err)) +	app.timeline_unavailable_eschtml_string_err
clawmetry/static/js/app.js	5587	B	No compactions yet. Context hasnt exceeded the ~' + _fmtTokens(Math.round(contextWindow * 0.8)) +	app.compactions_yet_context_hasnt_exceeded
clawmetry/static/js/app.js	5602	B	Error loading context data: ' + escHtml(String(e)) +	app.error_loading_context_data_eschtml
clawmetry/static/js/app.js	5943	D	Ingest temporarily offline. Brain history unavailable; the local_store writer is not responding. New events will appear once the daemon reconnects.	app.ingest_temporarily_offline_brain_history
clawmetry/static/js/app.js	5996	B	Failed to load: ' + escHtml(String(e)) +	app.failed_load_eschtml_string
clawmetry/static/js/app.js	6266	B	' + hint +	app.hint
clawmetry/static/js/app.js	6291	B	Failed to load spans: ' + _spansEsc(String(e)) +	app.failed_load_spans_spansesc_string
clawmetry/static/js/app.js	6344	B	No threats detected' + (_securityFilter!=='all'?' at this severity level':'') +	app.threats_detected_securityfilter_all_this
clawmetry/static/js/app.js	6398	B	Failed to load: ' + escHtml(String(e)) +	app.failed_load_eschtml_string
clawmetry/static/js/app.js	6415	D	NemoClaw governance is not yet available on this host. Coming soon — NVIDIA NeMo Guardrails integration is in private preview.	app.nemoclaw_governance_not_yet_available
clawmetry/static/js/app.js	6495	B	Policy loaded (' + (policy.lines || '?') +	app.policy_loaded_policy_lines
clawmetry/static/js/app.js	6792	B	Posture scan failed: ' + escHtml(String(e)) +	app.posture_scan_failed_eschtml_string
clawmetry/static/js/app.js	6834	B	Scan failed: ' + escHtml(String(e)) +	app.scan_failed_eschtml_string
clawmetry/static/js/app.js	7981	B	' + msg +	app.msg
clawmetry/static/js/app.js	8510	B	Could not load run history (' + escHtml(String(e.message||e)) +	app.could_not_load_run_history
clawmetry/static/js/app.js	8572	D	Delete cron job	app.delete_cron_job
clawmetry/static/js/app.js	8713	D	Ask AI to diagnose and fix	app.ask_diagnose_and_fix
clawmetry/static/js/app.js	9064	B	' + _taEmpty +	app.taempty
clawmetry/static/js/app.js	9147	B	' + escHtml(sessionId) +	app.eschtml_sessionid
clawmetry/static/js/app.js	9316	D	Select a span on the left to see its Chat , Inputs , Outputs , Attributes , and Events .	app.select_span_left_see_chat
clawmetry/static/js/app.js	9673	D	No conversation content for this span. Try Inputs / Outputs for the raw payload.	app.conversation_content_this_span_try
clawmetry/static/js/app.js	9772	B	' + hint +	app.hint
clawmetry/static/js/app.js	10443	B	' + badges +	app.badges
clawmetry/static/js/app.js	10701	D	Less More	app.less_more
clawmetry/static/js/app.js	10724	D	Ingest temporarily offline. Token usage data unavailable; the local_store writer is not responding.	app.ingest_temporarily_offline_token_usage
clawmetry/static/js/app.js	10919	D	No session cost data yet	app.session_cost_data_yet
clawmetry/static/js/app.js	12553	B	Failed to load sub-agents: ' + escHtml(String(e)) +	app.failed_load_sub_agents_eschtml
clawmetry/static/js/app.js	12609	B	Failed to load run ledger: '+escHtml(String(e))+	app.failed_load_run_ledger_eschtml
clawmetry/static/js/app.js	12778	B	Failed to load tool catalog: ' + escHtml(String(e)) +	app.failed_load_tool_catalog_eschtml
clawmetry/static/js/app.js	12916	B	' + calls.length + ' recent call' + (calls.length === 1 ? '' : 's') +	app.calls_length_recent_call_calls
clawmetry/static/js/app.js	12918	B	Failed to load calls: ' + escHtml(String(e)) +	app.failed_load_calls_eschtml_string
clawmetry/static/js/app.js	12990	B	Failed to load tool policy: '+escHtml(String(e))+	app.failed_load_tool_policy_eschtml
clawmetry/static/js/app.js	13030	B	Failed to load approval audit: '+escHtml(String(e))+	app.failed_load_approval_audit_eschtml
